iter	Passed	Remaining
547	12415	10240
548	12437	10217
549	12459	10194
550	12482	10172
551	12505	10149
552	12530	10128
553	12558	10109
554	12565	10075
555	12590	10053
556	12611	10029
557	12618	9995
558	12640	9972
559	12663	9949
560	12684	9925
561	12707	9903
562	12728	9880
563	12751	9857
564	12772	9833
565	12795	9811
566	12816	9787
567	12838	9764
568	12859	9740
569	12882	9718
570	12903	9694
571	12925	9671
572	12946	9648
573	12969	9625
574	12974	9589
575	12995	9566
576	13018	9543
577	13040	9521
578	13063	9498
579	13084	9474
580	13106	9452
581	13129	9429
582	13150	9406
583	13174	9384
584	13195	9361
585	13219	9339
586	13240	9315
587	13264	9294
588	13285	9270
589	13309	9248
590	13331	9226
591	13354	9203
592	13376	9180
593	13400	9158
594	13423	9136
595	13444	9113
596	13468	9091
597	13490	9068
598	13515	9047
599	13540	9026
600	13567	9007
601	13590	8984
602	13613	8962
603	13634	8939
604	13657	8916
605	13679	8893
606	13701	8871
607	13724	8848
608	13745	8825
609	13769	8803
610	13792	8781
611	13814	8758
612	13837	8736
613	13860	8713
614	13883	8691
615	13906	8669
616	13928	8646
617	13952	8624
618	13974	8601
619	13995	8578
620	14018	8555
621	14042	8533
622	14064	8510
623	14088	8489
624	14110	8466
625	14133	8444
626	14155	8421
627	14179	8399
628	14202	8376
629	14225	8354
630	14247	8331
631	14255	8300
632	14277	8277
633	14300	8255
634	14322	8232
635	14348	8211
636	14372	8190
637	14402	8172
638	14415	8144
639	14439	8122
640	14462	8100
641	14484	8077
642	14509	8055
643	14536	8035
644	14563	8015
645	14586	7993
646	14593	7962
647	14615	7939
648	14639	7917
649	14661	7894
650	14682	7871
651	14705	7848
652	14717	7820
653	14742	7799
654	14763	7776
655	14786	7753
656	14807	7730
657	14829	7707
658	14850	7684
659	14873	7662
660	14894	7638
661	14917	7616
662	14939	7593
663	14960	7570
664	14983	7547
665	15003	7524
666	15025	7501
667	15046	7478
668	15069	7456
669	15090	7432
670	15114	7410
671	15136	7387
672	15159	7365
673	15182	7343
674	15204	7320
675	15227	7298
676	15248	7275
677	15270	7252
678	15292	7229
679	15314	7207
680	15337	7184
681	15358	7161
682	15381	7139
683	15402	7115
684	15425	7093
685	15447	7070
686	15468	7047
687	15491	7025
688	15518	7004
689	15544	6983
690	15570	6962
691	15592	6940
692	15614	6917
693	15647	6899
694	15666	6875
695	15692	6854
696	15718	6833
697	15744	6812
698	15772	6791
699	15792	6768
700	15829	6751
701	15855	6730
702	15881	6709
703	15906	6687
704	15934	6667
705	15960	6646
706	15988	6625
707	16013	6604
708	16039	6583
709	16063	6561
710	16092	6540
711	16119	6520
712	16149	6500
713	16177	6480
714	16204	6459
715	16231	6438
716	16257	6416
717	16282	6394
718	16315	6376
719	16342	6355
720	16371	6335
721	16397	6313
722	16424	6292
723	16452	6271
724	16479	6250
725	16507	6230
726	16539	6210
727	16570	6191
728	16599	6170
729	16626	6149
730	16654	6128
731	16685	6109
732	16716	6088
733	16742	6067
734	16770	6046
735	16795	6024
736	16817	6001
737	16839	5978
738	16860	5954
739	16883	5931
740	16905	5908
741	16926	5885
742	16948	5862
743	16969	5839
744	16992	5816
745	17014	5793
746	17036	5769
747	17059	5747
748	17082	5724
749	17105	5701
750	17127	5678
751	17149	5655
752	17173	5633
753	17196	5610
754	17217	5587
755	17240	5564
756	17262	5541
757	17283	5518
758	17307	5495
759	17329	5472
760	17350	5449
761	17372	5426
762	17395	5403
763	17416	5380
764	17439	5357
765	17461	5334
766	17482	5310
767	17508	5289
768	17536	5267
769	17561	5245
770	17584	5222
771	17598	5197
772	17620	5174
773	17642	5151
774	17665	5128
775	17687	5105
776	17711	5083
777	17732	5059
778	17740	5032
779	17761	5009
780	17783	4986
781	17804	4963
782	17827	4940
783	17848	4917
784	17870	4894
785	17892	4871
786	17914	4848
787	17940	4826
788	17962	4803
789	17983	4780
790	18006	4757
791	18028	4734
